Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
B1,LSM6DS3TR,1,LSM6DS3TR,
"B2, B4",SOT95P270X145-5N,2,AP2112K-3.3TRG1,
B3,SOT95P270X145-5N,1,MCP73831T-2ACI_OT,
"BOOT, CRG, PWR, SIG",AVAG-HSMX-C190_V,4,HSMA-C190,
"C1, C10, C11, C12, C13, C2, C3, C4, C7, C8, C9",CAPC1608X87X35NL15T15,11,Capacitor 10 uF +/- 0.25 uF 50 V 0603,
"C5, C6",CAPC1608X87X35NL15T15,2,Capacitor  0.1 uF 50 V 0603,
D1,ONSC-SOD-123FL-2-498-01_V,1,MBR120,
J1,FP-2908-05WB-MG-MFG,1,2908-05WB-MG,
"J2, J3",8_PIN_100MIL - Female,2,PPTC081LFBN-RC,
J4,JM-9_HTSW-109-07-X-S,1,HTSW-109-07-X-SJ,
J5,USB4105-GF-A,1,USB4105-GF-A,
"J6, J7",4390,2,4208,
P1,JST- S2B-PH-SM4-TB(LF)(SN)-2_V,1,CN-1P-2M-R2,
Q1,FP-SOT23-MFG,1,DMG2305UX-7,
"R1, R12, R2, R7, R8, R9",RESC1608X55X25ML10T15,6,Resistor 100k +/-1% 0603 100 mW,
"R10, R13, R16, R17, R3",RESC1608X55X25ML10T15,5,Resistor 4.7k +/-1% 0603 100 mW,
"R11, R4, R5, R6",RESC1608X55X25ML10T15,4,Resistor 1k +/-1% 0603 100 mW,
"R14, R15",RESC1608X55X25ML10T15,2,Resistor 5.1k +/-1% 0603 100 mW,
"SW1, SW2",FP-KMR211GLFS-MFG,2,KMR211GLFS,
"TP1, TP2, TP3, TP4, TP5, TP6",TP06R,6,TPAD6R,
U1,ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,
