Designator,Mid X,Mid Y,Rotation,Layer
_2,17.1,0.6,0.0,top
,-9.9,0.6,0.0,top
B1,0.65,4.525,0.0,top
B2,2.975,-7.25,0.0,top
B3,-3.475,-5.7,0.0,top
B4,-8.925,8.05,180.0,top
BOOT,5.60008,5.24992,270.0,top
C1,12.925,13.525,90.0,top
C10,6.15,-7.25,90.0,top
C11,6.625,-4.8,180.0,top
C12,-6.575,-3.9,270.0,top
C13,-9.95,5.525,0.0,top
C2,14.525,13.525,90.0,top
C3,16.125,13.525,90.0,top
C4,8.625,5.25,90.0,top
C5,3.3,4.425,90.0,top
C6,-1.975,4.45,270.0,top
C7,13.225,16.4,90.0,top
C8,7.75,-7.25,90.0,top
C9,9.35,-7.25,90.0,top
CRG,-0.45008,-0.199915,90.0,top
D1,3.975,-3.225,90.0,top
J1,3.75,-7.5,0.0,bottom
J2,-18.5,3.71,270.0,top
J3,26.0,3.715,90.0,top
J4,3.725,-17.15,0.0,top
J5,18.096330680463524,-9.167871994172037,45.0,top
J6,20.46132789922127,16.922467659452096,135.0,top
J7,-12.920272709704623,16.960342848968743,225.0,top
P1,-10.85073451707451,-8.95073451707451,315.0,top
PWR,-5.05008,-0.17492,90.0,top
Q1,0.8,-3.325,90.0,top
R1,3.125,0.025,180.0,top
R10,-2.925,-3.375,180.0,top
R11,-1.95,-0.2,270.0,top
R12,-8.3,12.375,90.0,top
R13,-9.875,11.525,270.0,top
R14,17.2,-3.425,0.0,top
R15,12.325,-8.25,270.0,top
R16,-7.725,16.425,270.0,top
R17,-6.15,16.425,270.0,top
R2,10.2,5.225,270.0,top
R3,14.8,16.375,90.0,top
R4,-3.525,-0.2,270.0,top
R5,7.0,5.25,270.0,top
R6,13.225,5.225,270.0,top
R7,-0.2,-7.3,270.0,top
R8,6.0,-2.35,90.0,top
R9,-6.725,12.375,270.0,top
SIG,11.72508,5.22492,270.0,top
SW1,-6.575,22.1,270.0,top
SW2,14.05,22.1,90.0,top
TP1,-9.825,-4.275,90.0,top
TP2,-2.2,-8.025,90.0,top
TP3,8.675,-5.2,90.0,top
TP4,15.75,-5.3,90.0,top
TP5,13.925,-6.7,90.0,top
TP6,-6.2,-7.9,90.0,top
U1,3.725,14.825,0.0,top
